id,name,supertype,subtypes,hp,types,evolvesTo,rules,attacks,weaknesses,retreatCost,set_id,set_name,rarity,nationalPokedexNumbers,image_url,price
swsh5-174,Korrina's Focus,Trainer,"Supporter, Rapid Strike",,,,"Draw cards until you have 6 cards in your hand., You may play only 1 Supporter card during your turn.",,,,swsh5,Battle Styles,Rare Rainbow,,https://images.pokemontcg.io/swsh5/174_hires.png,5.92
swsh10-10,Kricketune,Pokémon,Stage 1,90,Grass,,,Slash,Fire,Colorless,swsh10,Astral Radiance,Uncommon,402,https://images.pokemontcg.io/swsh10/10_hires.png,
dp5-38,Kangaskhan,Pokémon,Basic,90,Colorless,,,"Bite, Comet Punch",Fighting,"Colorless, Colorless, Colorless",dp5,Majestic Dawn,Uncommon,115,https://images.pokemontcg.io/dp5/38_hires.png,
xyp-XY165,Magearna,Pokémon,Basic,90,Metal,,,"Entertain, Prismatic Wave",Fire,Colorless,xyp,XY Black Star Promos,Promo,801,https://images.pokemontcg.io/xyp/XY165_hires.png,0.84
sm5-7,Turtwig,Pokémon,Basic,80,Grass,Grotle,,"Tackle, Razor Leaf",Fire,"Colorless, Colorless",sm5,Ultra Prism,Common,387,https://images.pokemontcg.io/sm5/7_hires.png,
bw9-18,Horsea,Pokémon,Basic,60,Water,Seadra,,Fin Smack,Lightning,Colorless,bw9,Plasma Freeze,Common,116,https://images.pokemontcg.io/bw9/18_hires.png,
dp4-25,Milotic,Pokémon,Stage 1,90,Water,,,Twister,Lightning,"Colorless, Colorless",dp4,Great Encounters,Rare,350,https://images.pokemontcg.io/dp4/25_hires.png,
sv3pt5-196,Erika's Invitation,Trainer,Supporter,,,,"Your opponent reveals their hand, and you put a Basic Pokémon you find there onto your opponent's Bench. If you put a Pokémon onto their Bench in this way, switch in that Pokémon to the Active Spot., You may play only 1 Supporter card during your turn.",,,,sv3pt5,151,Ultra Rare,,https://images.pokemontcg.io/sv3pt5/196_hires.png,9.24
swsh12pt5gg-GG23,Dunsparce,Pokémon,Basic,60,Colorless,,,Rollout,Fighting,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,206,https://images.pokemontcg.io/swsh12pt5gg/GG23_hires.png,0.68
swsh5-173,Cheryl,Trainer,Supporter,,,,"Heal all damage from each of your Evolution Pokémon. If you do, discard all Energy from the Pokémon that were healed in this way., You may play only 1 Supporter card during your turn.",,,,swsh5,Battle Styles,Rare Rainbow,,https://images.pokemontcg.io/swsh5/173_hires.png,7.49
swsh10-9,Kricketot,Pokémon,Basic,60,Grass,Kricketune,,Trip Over,Fire,Colorless,swsh10,Astral Radiance,Common,401,https://images.pokemontcg.io/swsh10/9_hires.png,
sm115-45,Farfetch'd,Pokémon,Basic,80,Colorless,Sirfetch'd,,Leek Slap,Lightning,Colorless,sm115,Hidden Fates,Uncommon,83,https://images.pokemontcg.io/sm115/45_hires.png,
swsh4-166,Orbeetle V,Pokémon,"Basic, V",180,Grass,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.","Strafe, Mysterious Wave",Fire,Colorless,swsh4,Vivid Voltage,Rare Ultra,826,https://images.pokemontcg.io/swsh4/166_hires.png,1.2
neo4-7,Dark Houndoom,Pokémon,Stage 1,60,Fire,,,"Eerie Howl, Dark Fire",Water,Colorless,neo4,Neo Destiny,Rare Holo,229,https://images.pokemontcg.io/neo4/7_hires.png,
ex9-21,Zangoose,Pokémon,Basic,70,Colorless,,,"Extra Claws, Quick Attack",Fighting,Colorless,ex9,Emerald,Rare,335,https://images.pokemontcg.io/ex9/21_hires.png,
base5-27,Dark Machamp,Pokémon,Stage 2,70,Fighting,,,"Mega Punch, Fling",Psychic,"Colorless, Colorless, Colorless",base5,Team Rocket,Rare,68,https://images.pokemontcg.io/base5/27_hires.png,
sv3pt5-195,Daisy's Help,Trainer,Supporter,,,,"Draw 2 cards. Look at your face-down Prize cards., You may play only 1 Supporter card during your turn.",,,,sv3pt5,151,Ultra Rare,,https://images.pokemontcg.io/sv3pt5/195_hires.png,5.42
swsh12pt5gg-GG22,Ditto,Pokémon,Basic,70,Colorless,,,,Fighting,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,132,https://images.pokemontcg.io/swsh12pt5gg/GG22_hires.png,1.13
swsh5-172,Bruno,Trainer,"Supporter, Single Strike",,,,"Shuffle your hand into your deck. Then, draw 4 cards. If any of your Pokémon were Knocked Out during your opponent's last turn, draw 7 cards instead., You may play only 1 Supporter card during your turn.",,,,swsh5,Battle Styles,Rare Rainbow,,https://images.pokemontcg.io/swsh5/172_hires.png,5.24
swsh10-8,Heracross,Pokémon,Basic,110,Grass,,,"Horn Attack, Overhead Throw",Fire,"Colorless, Colorless",swsh10,Astral Radiance,Common,214,https://images.pokemontcg.io/swsh10/8_hires.png,
hgss3-42,Aron,Pokémon,Basic,50,Metal,Lairon,,"Metal Sound, Headbutt",Fire,Colorless,hgss3,HS—Undaunted,Common,304,https://images.pokemontcg.io/hgss3/42_hires.png,
ecard3-135,Mystery Plate γ,Trainer,Technical Machine,,,,"Attach this card to 1 of your Pokémon in play. That Pokémon may use this card's attack instead of its own. At the end of your turn, discard Mystery Plate γ.",Retro Cave,,,ecard3,Skyridge,Uncommon,,https://images.pokemontcg.io/ecard3/135_hires.png,
dpp-DP07,Cranidos,Pokémon,Stage 1,70,Fighting,Rampardos,,"Headbutt, Steamroll",Grass,Colorless,dpp,DP Black Star Promos,Promo,408,https://images.pokemontcg.io/dpp/DP07_hires.png,3.36
sm7-15,Surskit,Pokémon,Basic,50,Grass,Masquerain,,Bubble,Fire,Colorless,sm7,Celestial Storm,Common,283,https://images.pokemontcg.io/sm7/15_hires.png,
xy12-24,Poliwhirl,Pokémon,Stage 1,80,Water,"Poliwrath, Politoed",,"Amnesia, Double Slap",Grass,Colorless,xy12,Evolutions,Uncommon,61,https://images.pokemontcg.io/xy12/24_hires.png,
sv3pt5-190,Kangaskhan ex,Pokémon,"Basic, ex",230,Colorless,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.","Triple Draw, Incessant Punching",Fighting,"Colorless, Colorless",sv3pt5,151,Ultra Rare,115,https://images.pokemontcg.io/sv3pt5/190_hires.png,7.87
swsh12pt5gg-GG21,Hisuian Goodra,Pokémon,Stage 2,160,Dragon,,,Heavy Impact,,"Colorless, Colorless, Colorless",swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,706,https://images.pokemontcg.io/swsh12pt5gg/GG21_hires.png,0.88
swsh5-171,Corviknight VMAX,Pokémon,VMAX,320,Metal,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.",G-Max Hurricane,Fire,,swsh5,Battle Styles,Rare Rainbow,823,https://images.pokemontcg.io/swsh5/171_hires.png,9.26
swsh10-7,Yanmega,Pokémon,Stage 1,120,Grass,,,"Razor Wing, Wide Wing",Fire,,swsh10,Astral Radiance,Uncommon,469,https://images.pokemontcg.io/swsh10/7_hires.png,
sm6-39,Xurkitree,Pokémon,"Basic, Ultra Beast",120,Lightning,,,"Dazzle Blast, Cablegram",Fighting,Colorless,sm6,Forbidden Light,Rare,796,https://images.pokemontcg.io/sm6/39_hires.png,
swsh3-161,Familiar Bell,Trainer,Item,,,,"Search your deck for a Pokémon with the same name as a Pokémon in your discard pile, reveal it, and put it into your hand. Then, shuffle your deck., You may play any number of Item cards during your turn.",,,,swsh3,Darkness Ablaze,Uncommon,,https://images.pokemontcg.io/swsh3/161_hires.png,
xy10-5,Snivy,Pokémon,Basic,60,Grass,Servine,,Blot,Fire,Colorless,xy10,Fates Collide,Common,495,https://images.pokemontcg.io/xy10/5_hires.png,
dp1-20,Bibarel,Pokémon,Stage 1,100,Colorless,,,"Rest, Take Down",Fighting,"Colorless, Colorless",dp1,Diamond & Pearl,Rare,400,https://images.pokemontcg.io/dp1/20_hires.png,
sm1-29,Golduck,Pokémon,Stage 1,90,Water,,,"Scratch, Double Jet",Grass,,sm1,Sun & Moon,Rare,55,https://images.pokemontcg.io/sm1/29_hires.png,
sv3pt5-184,Blastoise ex,Pokémon,"Stage 2, ex",330,Water,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.",Twin Cannons,Lightning,"Colorless, Colorless, Colorless",sv3pt5,151,Ultra Rare,9,https://images.pokemontcg.io/sv3pt5/184_hires.png,17.91
swsh12pt5gg-GG20,Latias,Pokémon,"Basic, Fusion Strike",120,Dragon,,,Dyna Barrier,,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,380,https://images.pokemontcg.io/swsh12pt5gg/GG20_hires.png,2.73
swsh5-169,Rapid Strike Urshifu VMAX,Pokémon,"VMAX, Rapid Strike",330,Fighting,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.","Gale Thrust, G-Max Rapid Flow",Psychic,"Colorless, Colorless",swsh5,Battle Styles,Rare Rainbow,892,https://images.pokemontcg.io/swsh5/169_hires.png,8.29
swsh10-6,Yanma,Pokémon,Basic,60,Grass,Yanmega,,Speed Dive,Fire,,swsh10,Astral Radiance,Common,193,https://images.pokemontcg.io/swsh10/6_hires.png,
ex15-33,Kirlia δ,Pokémon,Stage 1,70,Fire,"Gardevoir, Gallade",,"Flickering Flames, Smack",Psychic,Colorless,ex15,Dragon Frontiers,Uncommon,281,https://images.pokemontcg.io/ex15/33_hires.png,
swsh1-169,Marnie,Trainer,Supporter,,,,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, you draw 5 cards, and your opponent draws 4 cards., You may play only 1 Supporter card during your turn.",,,,swsh1,Sword & Shield,Rare Holo,,https://images.pokemontcg.io/swsh1/169_hires.png,0.44
pl4-7,Probopass,Pokémon,Stage 1,100,Metal,,,"Top Chop, Tumbling Attack",Fire,"Colorless, Colorless, Colorless",pl4,Arceus,Rare Holo,476,https://images.pokemontcg.io/pl4/7_hires.png,1.11
sm1-20,Tsareena,Pokémon,Stage 2,140,Grass,,,Trop Kick,Fire,"Colorless, Colorless",sm1,Sun & Moon,Rare Holo,763,https://images.pokemontcg.io/sm1/20_hires.png,0.25
xy2-35,Magnezone-EX,Pokémon,"Basic, EX",180,Lightning,,"Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.","Electro Ball, Dual Bullet",Fighting,"Colorless, Colorless, Colorless",xy2,Flashfire,Rare Holo EX,462,https://images.pokemontcg.io/xy2/35_hires.png,2.06
sv3pt5-183,Charizard ex,Pokémon,"Stage 2, ex",330,Fire,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.","Brave Wing, Explosive Vortex",Water,"Colorless, Colorless",sv3pt5,151,Ultra Rare,6,https://images.pokemontcg.io/sv3pt5/183_hires.png,34.65
swsh12pt5gg-GG19,Altaria,Pokémon,Stage 1,90,Dragon,,,Glide,,,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,334,https://images.pokemontcg.io/swsh12pt5gg/GG19_hires.png,0.92
swsh5-167,Single Strike Urshifu VMAX,Pokémon,"VMAX, Single Strike",330,Fighting,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.","Beatdown, G-Max One Blow",Psychic,"Colorless, Colorless, Colorless",swsh5,Battle Styles,Rare Rainbow,892,https://images.pokemontcg.io/swsh5/167_hires.png,10.84
swsh10-5,Scyther,Pokémon,Basic,80,Grass,Scizor,,Quick Blow,Fire,Colorless,swsh10,Astral Radiance,Common,123,https://images.pokemontcg.io/swsh10/5_hires.png,
hgss4-46,Nidorino,Pokémon,Stage 1,80,Psychic,Nidoking,,"Horn Attack, Lunge",Psychic,Colorless,hgss4,HS—Triumphant,Uncommon,33,https://images.pokemontcg.io/hgss4/46_hires.png,
sm1-172,Fairy Energy,Energy,Basic,,,,,,,,sm1,Sun & Moon,Common,,https://images.pokemontcg.io/sm1/172_hires.png,
pop6-7,Gible,Pokémon,Basic,50,Colorless,Gabite,Oran Berry: Remove 1 damage counter from Gible at the end of your turn.,Surprise Attack,Colorless,Colorless,pop6,POP Series 6,Uncommon,443,https://images.pokemontcg.io/pop6/7_hires.png,5.86
dp6-11,Mewtwo,Pokémon,Basic,80,Psychic,,,"Hypnoblast, Psychic",Psychic,"Colorless, Colorless",dp6,Legends Awakened,Rare Holo,150,https://images.pokemontcg.io/dp6/11_hires.png,32.9
base6-27,Kabutops,Pokémon,Stage 2,60,Fighting,,,"Sharp Sickle, Absorb",Grass,Colorless,base6,Legendary Collection,Rare,141,https://images.pokemontcg.io/base6/27_hires.png,
sv3pt5-178,Tangela,Pokémon,Basic,80,Grass,Tangrowth,,Tactful Tangling,Fire,"Colorless, Colorless",sv3pt5,151,Illustration Rare,114,https://images.pokemontcg.io/sv3pt5/178_hires.png,6.22
swsh12pt5gg-GG18,Magnezone,Pokémon,Stage 2,150,Metal,,,Power Beam,Fire,"Colorless, Colorless",swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,462,https://images.pokemontcg.io/swsh12pt5gg/GG18_hires.png,1.23
swsh5-166,Tapu Koko VMAX,Pokémon,VMAX,320,Lightning,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.",Max Shock,Fighting,Colorless,swsh5,Battle Styles,Rare Rainbow,785,https://images.pokemontcg.io/swsh5/166_hires.png,6.59
swsh10-4,Scyther,Pokémon,Basic,90,Grass,Scizor,,Blinding Scythe,Fire,Colorless,swsh10,Astral Radiance,Common,123,https://images.pokemontcg.io/swsh10/4_hires.png,
np-36,Tropical Tidal Wave,Trainer,Item,,,,"Flip a coin. If heads, discard all Trainer cards your opponent has in play. If tails, discard all Trainer cards (excluding Supporter cards) you have in play.",,,,np,Nintendo Black Star Promos,Promo,,https://images.pokemontcg.io/np/36_hires.png,
sm3-164,Multi Switch,Trainer,Item,,,,"Move an Energy from 1 of your Benched Pokémon to your Active Pokémon., You may play as many Item cards as you like during your turn (before your attack).",,,,sm3,Burning Shadows,Rare Secret,,https://images.pokemontcg.io/sm3/164_hires.png,2.74
ex8-6,Crawdaunt,Pokémon,Stage 1,70,Darkness,,,"Bubblebeam, Cross-Cut",Grass,Colorless,ex8,Deoxys,Rare Holo,342,https://images.pokemontcg.io/ex8/6_hires.png,10.72
g1-10,Leafeon-EX,Pokémon,"Basic, EX",170,Grass,,"Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.","Leaf Blade, Nature's Breath",Fire,"Colorless, Colorless",g1,Generations,Rare Holo EX,470,https://images.pokemontcg.io/g1/10_hires.png,12.43
neo3-27,Suicune,Pokémon,Basic,60,Water,,,Crystal Wave,Lightning,,neo3,Neo Revelation,Rare,245,https://images.pokemontcg.io/neo3/27_hires.png,
sv3pt5-176,Poliwhirl,Pokémon,Stage 1,90,Water,"Poliwrath, Politoed",,"Wave Splash, Frog Hop",Lightning,Colorless,sv3pt5,151,Illustration Rare,61,https://images.pokemontcg.io/sv3pt5/176_hires.png,12.69
swsh12pt5gg-GG17,Thievul,Pokémon,Stage 1,100,Darkness,,,Sharp Fang,Grass,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,828,https://images.pokemontcg.io/swsh12pt5gg/GG17_hires.png,0.69
swsh5-165,Victini VMAX,Pokémon,VMAX,310,Fire,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.","Spreading Flames, Max Victory",Water,"Colorless, Colorless",swsh5,Battle Styles,Rare Rainbow,494,https://images.pokemontcg.io/swsh5/165_hires.png,8.58
swsh10-3,Hisuian Electrode,Pokémon,Stage 1,90,Grass,,,"Triple Draw, Irritated Bomb",Fire,Colorless,swsh10,Astral Radiance,Uncommon,101,https://images.pokemontcg.io/swsh10/3_hires.png,
xy9-36,Ducklett,Pokémon,Basic,60,Water,Swanna,,Lunge,Lightning,Colorless,xy9,BREAKpoint,Common,580,https://images.pokemontcg.io/xy9/36_hires.png,
swsh2-175,Rillaboom V,Pokémon,"Basic, V",220,Grass,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.","Forest Feast, Wood Hammer",Fire,"Colorless, Colorless, Colorless",swsh2,Rebel Clash,Rare Ultra,812,https://images.pokemontcg.io/swsh2/175_hires.png,2.25
pop4-6,Combusken,Pokémon,Stage 1,70,Fire,Blaziken,,"Smokescreen, Sky Uppercut",Water,Colorless,pop4,POP Series 4,Uncommon,256,https://images.pokemontcg.io/pop4/6_hires.png,4.38
col1-21,Smeargle,Pokémon,Basic,70,Colorless,,,Tail Rap,Fighting,Colorless,col1,Call of Legends,Rare Holo,235,https://images.pokemontcg.io/col1/21_hires.png,5.63
swshp-SWSH021,Polteageist V,Pokémon,"Basic, V",170,Psychic,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.",Mind Bend,Darkness,Colorless,swshp,SWSH Black Star Promos,Promo,855,https://images.pokemontcg.io/swshp/SWSH021_hires.png,1.71
sv3pt5-175,Psyduck,Pokémon,Basic,70,Water,Golduck,,"Overthink, Water Gun",Lightning,Colorless,sv3pt5,151,Illustration Rare,54,https://images.pokemontcg.io/sv3pt5/175_hires.png,10.47
swsh12pt5gg-GG16,Absol,Pokémon,Basic,100,Darkness,,,"Swirling Disaster, Claw Rend",Grass,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,359,https://images.pokemontcg.io/swsh12pt5gg/GG16_hires.png,1.46
swsh5-164,Flapple VMAX,Pokémon,VMAX,320,Grass,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.",G-Max Rolling,Fire,"Colorless, Colorless, Colorless",swsh5,Battle Styles,Rare Rainbow,841,https://images.pokemontcg.io/swsh5/164_hires.png,7.8
swsh10-2,Hisuian Voltorb,Pokémon,Basic,50,Grass,Electrode,,"Cheerful Charge, Ram",Fire,Colorless,swsh10,Astral Radiance,Common,100,https://images.pokemontcg.io/swsh10/2_hires.png,
ex10-42,Miltank,Pokémon,Basic,60,Colorless,,,"Healing Milk, Body Slam",Fighting,Colorless,ex10,Unseen Forces,Uncommon,241,https://images.pokemontcg.io/ex10/42_hires.png,
ecard1-165,Water Energy,Energy,Basic,,,,,,,,ecard1,Expedition Base Set,,,https://images.pokemontcg.io/ecard1/165_hires.png,
xy6-2,Exeggutor,Pokémon,Stage 1,120,Grass,,,"Shake It Off, Seed Bomb",Fire,"Colorless, Colorless, Colorless",xy6,Roaring Skies,Uncommon,103,https://images.pokemontcg.io/xy6/2_hires.png,
sm2-19a,Alolan Sandshrew,Pokémon,Basic,60,Water,Sandslash,,"Defense Curl, Ice Ball",Metal,Colorless,sm2,Guardians Rising,Common,27,https://images.pokemontcg.io/sm2/19a_hires.png,
sm35-21,Qwilfish,Pokémon,Basic,90,Water,,,"Poison Sting, Shocking Sting",Grass,Colorless,sm35,Shining Legends,Common,211,https://images.pokemontcg.io/sm35/21_hires.png,
sv3pt5-191,Jynx ex,Pokémon,"Basic, ex",200,Water,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.","Heart-Stopping Kiss, Icy Wind",Metal,"Colorless, Colorless",sv3pt5,151,Ultra Rare,124,https://images.pokemontcg.io/sv3pt5/191_hires.png,7.33
swsh12pt5gg-GG15,Solrock,Pokémon,Basic,90,Fighting,,,Spinning Attack,Grass,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,338,https://images.pokemontcg.io/swsh12pt5gg/GG15_hires.png,1.17
swshp-SWSH107,Rapid Strike Urshifu V,Pokémon,"Basic, V, Rapid Strike",220,Fighting,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.","Spiral Kick, Sonic Legs",Psychic,"Colorless, Colorless",swshp,SWSH Black Star Promos,Promo,892,https://images.pokemontcg.io/swshp/SWSH107_hires.png,0.67
swsh10-1,Beedrill V,Pokémon,"Basic, V",210,Grass,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.","Twineedle, Swarming Sting",Fire,Colorless,swsh10,Astral Radiance,Rare Holo V,15,https://images.pokemontcg.io/swsh10/1_hires.png,0.47
base6-39,Dark Wartortle,Pokémon,Stage 1,60,Water,Blastoise,,"Doubleslap, Mirror Shell",Lightning,Colorless,base6,Legendary Collection,Uncommon,8,https://images.pokemontcg.io/base6/39_hires.png,
sm11-163,Kangaskhan,Pokémon,Basic,130,Colorless,,,"Double Draw, Tag Impact",Fighting,"Colorless, Colorless",sm11,Unified Minds,Rare Holo,115,https://images.pokemontcg.io/sm11/163_hires.png,0.47
det1-9,Greninja,Pokémon,Stage 2,140,Water,,,Furious Shurikens,Grass,Colorless,det1,Detective Pikachu,Rare Ultra,658,https://images.pokemontcg.io/det1/9_hires.png,3.03
ex16-11,Machamp,Pokémon,Stage 2,120,Fighting,,,"Brick Smash, Cross Chop",Psychic,"Colorless, Colorless",ex16,Power Keepers,Rare Holo,68,https://images.pokemontcg.io/ex16/11_hires.png,8.5
base1-30,Ivysaur,Pokémon,Stage 1,60,Grass,Venusaur,,"Vine Whip, Poisonpowder",Fire,Colorless,base1,Base,Uncommon,2,https://images.pokemontcg.io/base1/30_hires.png,
sv3pt5-186,Ninetales ex,Pokémon,"Stage 1, ex",260,Fire,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.","Heat Wave, Mirrored Flames",Water,"Colorless, Colorless",sv3pt5,151,Ultra Rare,38,https://images.pokemontcg.io/sv3pt5/186_hires.png,11.93
swsh12pt5gg-GG14,Comfey,Pokémon,Basic,70,Psychic,,,Spinning Attack,Metal,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,764,https://images.pokemontcg.io/swsh12pt5gg/GG14_hires.png,1.98
swshp-SWSH106,Single Strike Urshifu V,Pokémon,"Basic, V, Single Strike",220,Fighting,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.","Low Kick, Brawny Knuckle",Psychic,"Colorless, Colorless",swshp,SWSH Black Star Promos,Promo,892,https://images.pokemontcg.io/swshp/SWSH106_hires.png,0.66
swshp-SWSH222,Oshawott,Pokémon,Basic,70,Water,Dewott,,Beat,Lightning,Colorless,swshp,SWSH Black Star Promos,Promo,501,https://images.pokemontcg.io/swshp/SWSH222_hires.png,0.17
ex2-36,Elekid,Pokémon,Basic,40,Lightning,Electabuzz,,Gather Energy,Fighting,Colorless,ex2,Sandstorm,Uncommon,239,https://images.pokemontcg.io/ex2/36_hires.png,
sm5-165,Palkia-GX,Pokémon,"Basic, GX",180,Dragon,,"Pokémon-GX rule: When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.","Spatial Control, Hydro Pressure, Zero Vanish-GX",Fairy,"Colorless, Colorless, Colorless",sm5,Ultra Prism,Rare Rainbow,484,https://images.pokemontcg.io/sm5/165_hires.png,22.05
col1-6,Groudon,Pokémon,Basic,100,Fighting,,,Volcano Stomp,Grass,"Colorless, Colorless, Colorless, Colorless",col1,Call of Legends,Rare Holo,383,https://images.pokemontcg.io/col1/6_hires.png,7.54
neo2-12,Tyranitar,Pokémon,Stage 2,100,Darkness,,,"Slam, Trample",,"Colorless, Colorless, Colorless",neo2,Neo Discovery,Rare Holo,248,https://images.pokemontcg.io/neo2/12_hires.png,
ecard2-2,Arcanine,Pokémon,Stage 1,90,Fire,,,Fire Blow,Water,"Colorless, Colorless, Colorless",ecard2,Aquapolis,Rare,59,https://images.pokemontcg.io/ecard2/2_hires.png,
sv3pt5-182,Venusaur ex,Pokémon,"Stage 2, ex",340,Grass,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.",Dangerous Toxwhip,Fire,"Colorless, Colorless, Colorless, Colorless",sv3pt5,151,Ultra Rare,3,https://images.pokemontcg.io/sv3pt5/182_hires.png,15.65
swsh12pt5gg-GG13,Diancie,Pokémon,Basic,90,Psychic,,,Spike Draw,Metal,Colorless,swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,719,https://images.pokemontcg.io/swsh12pt5gg/GG13_hires.png,0.99
swshp-SWSH103,Blastoise VMAX,Pokémon,VMAX,330,Water,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.","Grand Falls, G-Max Bombard",Lightning,"Colorless, Colorless, Colorless",swshp,SWSH Black Star Promos,Promo,9,https://images.pokemontcg.io/swshp/SWSH103_hires.png,17.38
